sample_id,model,prompt_type,target_gt,status,iou,dice,precision,recall,pred_pixels,gt_pixels
goose_016,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_017,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_018,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_019,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_020,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_021,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_022,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_023,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_024,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_025,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_026,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_027,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_028,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_029,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_030,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_031,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_032,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_033,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_034,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_035,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_036,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_037,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_038,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_039,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
